Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
98:22:EF:1F:D7:0D, 2023-11-07 14:14:30, 2023-11-07 14:29:58,-70,3,A4:6D:A4:34:94:DC,
6A:E8:DE:4A:20:EF, 2023-11-07 14:14:34, 2023-11-07 14:14:34,-75,1,(not associated),
12:A1:0F:BD:35:56, 2023-11-07 14:14:45, 2023-11-07 14:14:45,-75,1,(not associated),
6E:BA:46:3E:30:C1, 2023-11-07 14:14:45, 2023-11-07 14:22:14,-73,52,22:89:A0:60:4D:31,
C0:39:5A:E5:31:A7, 2023-11-07 14:14:47, 2023-11-07 14:33:24,-80,10,(not associated),BILLUNDVINA
C6:C5:6B:B3:26:59, 2023-11-07 14:14:51, 2023-11-07 14:14:51,-72,1,(not associated),
C2:35:E2:BE:66:6C, 2023-11-07 14:14:53, 2023-11-07 14:14:53,-72,1,(not associated),
70:89:76:B6:96:4D, 2023-11-07 14:14:56, 2023-11-07 14:38:27,-77,46,E4:57:40:E0:25:67,
F0:35:75:16:91:A5, 2023-11-07 14:15:00, 2023-11-07 14:37:52,-77,45,E4:57:40:AC:55:F9,
AA:10:E8:07:94:75, 2023-11-07 14:15:08, 2023-11-07 14:15:08,-80,2,(not associated),
7E:7F:91:69:C7:19, 2023-11-07 14:15:10, 2023-11-07 14:15:10,-61,1,(not associated),
22:78:7C:57:A4:44, 2023-11-07 14:15:10, 2023-11-07 14:15:10,-76,1,(not associated),
EC:4D:3E:3B:F4:0E, 2023-11-07 14:15:17, 2023-11-07 14:37:23,-71,57,18:35:D1:8F:4E:61,
4A:AA:14:45:34:CC, 2023-11-07 14:15:17, 2023-11-07 14:15:17,-75,1,(not associated),
92:07:6F:4E:B4:65, 2023-11-07 14:15:18, 2023-11-07 14:15:18,-75,1,(not associated),
CE:AF:00:5B:61:36, 2023-11-07 14:15:18, 2023-11-07 14:15:18,-81,1,(not associated),
02:29:74:83:75:B0, 2023-11-07 14:15:33, 2023-11-07 14:15:33,-77,1,(not associated),
B2:5E:D8:1A:40:CA, 2023-11-07 14:15:33, 2023-11-07 14:15:33,-79,1,(not associated),
1A:90:13:1A:0F:1E, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-73,1,(not associated),
7C:96:D2:B4:67:04, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-80,1,(not associated),
0E:02:20:FF:19:5D, 2023-11-07 14:15:40, 2023-11-07 14:15:40,-75,1,(not associated),
