BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
A4:6D:A4:44:53:73, 2023-11-07 14:10:56, 2023-11-07 14:38:39,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-63.0,112.0,0.0,   0.  0.  0.  0,0.0, , 
48:D3:43:8B:2C:A1, 2023-11-07 14:10:56, 2023-11-07 14:38:24, 11, 130, WPA2, CCMP, PSK,-77.0,187.0,4.0,   0.  0.  0.  0,11.0, VTR-6189793, 
88:DE:7C:EB:8C:41, 2023-11-07 14:10:56, 2023-11-07 14:38:28,  1, 130, WPA2, CCMP, PSK,-67.0,237.0,0.0,   0.  0.  0.  0,21.0, Centro Conaripe Smart, 
40:0D:10:0E:67:61, 2023-11-07 14:10:56, 2023-11-07 14:36:01,  1, 130, WPA2, CCMP, PSK,-69.0,7.0,0.0,   0.  0.  0.  0,11.0, VTR-3676607, 
60:32:B1:29:31:87, 2023-11-07 14:10:57, 2023-11-07 14:37:39,  2, 130, WPA2, CCMP TKIP, PSK,-79.0,77.0,0.0,   0.  0.  0.  0,17.0, ALEJANDRA_2.4_EXT, 
48:2C:D0:AD:D3:78, 2023-11-07 14:10:59, 2023-11-07 14:38:20, 11, 130, WPA2 WPA, CCMP, PSK,-78.0,3.0,0.0,   0.  0.  0.  0,10.0, Nacho_Wifi, 
14:EB:08:4F:AA:AF, 2023-11-07 14:10:59, 2023-11-07 14:38:38, 11, 360, WPA2 WPA, CCMP TKIP, PSK,-73.0,144.0,2.0,   0.  0.  0.  0,0.0, , 
C4:69:F0:C9:CF:67, 2023-11-07 14:10:59, 2023-11-07 14:38:24,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-71.0,63.0,0.0,   0.  0.  0.  0,0.0, , 
2C:A0:42:E6:3D:84, 2023-11-07 14:10:59, 2023-11-07 14:38:20,  6, 270, WPA2 WPA, CCMP, PSK,-72.0,154.0,0.0,   0.  0.  0.  0,13.0, TELEVISA 2.4G, 
40:0D:10:F4:2B:41, 2023-11-07 14:10:59, 2023-11-07 14:38:38,  6, 130, WPA2, CCMP, PSK,-60.0,208.0,0.0,   0.  0.  0.  0,11.0, VTR-2402768, 
48:D3:43:34:67:59, 2023-11-07 14:10:59, 2023-11-07 14:31:21,  1, 130, WPA2, CCMP, PSK,-75.0,10.0,0.0,   0.  0.  0.  0,11.0, VTR-3490111, 
F4:69:42:2D:04:4F, 2023-11-07 14:11:00, 2023-11-07 14:15:50,  1,  -1, , ,   ,-1.0,0.0,0.0,   0.  0.  0.  0,0.0, , 
